id2.2013,typ_border,typ_border.incl,trust_natgov,trust_eu,trust.incl,eqi_2013,eqi.incl,Competitiveness,Convergence,Cooperation,Multi.Objective,struct_2007.incl,Less.Developed,Transition,More.Developed,struct_2014.incl,unemployment_2013,unemp.incl,education_2013,edu.incl,soc_idx,soc_idx.incl,migration_2013,migration.incl,sgi_aggregated,sgi_aggregated.incl,agr_share,agr.incl,eu_id_positive,eu_id_neutral,eu_id_negative,eu_id_dk,eu_id.incl,eu_att_positive,eu_att_neutral,eu_att_negative,eu_att_dk,eu_att.incl
ES24,2,1,18.30985915492958,28.169014084507044,1,0.262012,1,1,1,1,1,1,0,0,1,1,21.4,1,34.8,1,68.24,1,-4,1,-0.32,1,6.2,1,23.61,55.55,18.05,2.77,1,72.46,21.73,5.79,0,1
ES30,0,1,13.745704467353953,36.42611683848797,1,0.419102,1,1,1,1,1,1,0,0,1,1,19.8,1,46,1,71.92,1,-9.3,1,8.81,1,0.5,1,46.42,42.85,10.35,0.35,1,71.08,22.29,5.57,1.04,1
ES41,2,1,24.096385542168676,33.734939759036145,1,0.400598,1,1,1,1,1,1,0,0,1,1,21.7,1,33.7,1,68.86,1,-5.3,1,-0.77,1,7.6,1,43.66,39.43,9.85,7.04,1,60.56,22.53,16.9,0,1
ES43,1,1,4.3478260869565215,21.73913043478261,1,0.297832,1,0,1,1,1,1,1,0,0,1,33.9,1,24.5,1,64.77,1,-2.2,1,-4.11,1,10.4,1,13.63,59.09,22.72,4.54,1,56.52,34.78,8.69,0,1
ES51,2,1,5.802047781569966,24.914675767918087,1,-0.0505,1,1,1,1,1,1,0,0,1,1,23.1,1,34.8,1,65.51,1,-10.1,1,7.37,1,1.9,1,31.92,47.88,18.89,1.3,1,57.65,31.59,10.09,0.65,1
ES52,0,1,16.26984126984127,32.142857142857146,1,-0.15068,1,1,1,0,1,1,0,0,1,1,28,1,30.8,1,66.6,1,-6.9,1,2.32,1,3.5,1,26.87,52.17,19.76,1.18,1,48.38,32.66,16.93,2.01,1
ES53,0,1,13.793103448275861,67.24137931034483,1,0.112122,1,1,1,0,1,1,0,0,1,1,22.3,1,26.8,1,63.84,1,2.6,1,-3.34,1,1.1,1,63.93,27.86,4.91,3.27,1,61.66,35,3.33,0,1
ES61,2,1,12.112676056338028,24.507042253521128,1,0.017955,1,0,1,1,1,1,0,1,0,1,36.2,1,27.3,1,63.81,1,-2.4,1,4.94,1,7.8,1,32.63,46.4,15.86,5.08,1,45.53,36.31,15.64,2.51,1
ES62,0,1,18.333333333333332,23.333333333333332,1,0.490304,1,0,1,0,1,1,0,1,0,1,29,1,28.2,1,65.53,1,-4.2,1,-1.46,1,13.4,1,29.16,47.22,19.44,4.16,1,33.33,41.66,23.61,1.38,1
ES70,2,1,13.580246913580247,24.691358024691358,1,-0.20749,1,1,1,1,1,1,0,1,0,1,33.7,1,27.3,1,65.32,1,3.5,1,-1.46,1,3.3,1,22.66,42.66,20,14.66,1,50,31.7,10.97,7.31,1
